"data","represa","nivel","vabs","vrel","vmax","afluente","descarregada","tunel"
"2015-01-15","PN",754.14,30.19,9.2,329.37,5.31,9.45,-1
"2015-01-15","P",761.62,9.90,27.0,36.73,0.65,1.24,8.80
"2015-01-15","B",749.67,2.08,4.3,48.42,0.27,0.12,9.71
"2015-01-15","J",748.47,0.44,0.6,74.09,9.81,0.05,10.79
"2015-01-15","T",742.19,20.04,23.5,85.20,10.92,0.10,-1
"2015-01-16","PN",754.08,29.58,9.0,329.37,6.56,9.45,-1
"2015-01-16","P",761.59,9.83,26.8,36.73,0.36,1.24,8.91
"2015-01-16","B",749.67,2.08,4.3,48.42,0.86,0.12,9.65
"2015-01-16","J",748.46,0.35,0.5,74.09,9.71,0.05,10.69
"2015-01-16","T",742.19,20.04,23.5,85.20,10.49,0.10,-1
"2015-01-17","PN",754.02,28.98,8.8,329.37,6.61,9.45,-1
"2015-01-17","P",761.56,9.75,26.5,36.73,0.18,1.05,8.80
"2015-01-17","B",749.66,2.05,4.2,48.42,0.53,0.12,9.59
"2015-01-17","J",748.46,0.35,0.5,74.09,9.64,0.50,9.14
"2015-01-17","T",742.18,19.95,23.4,85.20,9.41,0.10,-1
"2015-01-18","PN",753.96,28.38,8.6,329.37,6.67,9.45,-1
"2015-01-18","P",761.54,9.70,26.4,36.73,0.47,1.05,8.80
"2015-01-18","B",749.64,1.98,4.1,48.42,0.11,0.12,9.55
"2015-01-18","J",748.46,0.35,0.5,74.09,9.60,0.50,9.10
"2015-01-18","T",742.16,19.76,23.2,85.20,9.41,0.10,-1
"2015-01-19","PN",753.91,27.88,8.5,329.37,7.57,9.15,-1
"2015-01-19","P",761.51,9.62,26.2,36.73,0.18,1.05,8.68
"2015-01-19","B",749.62,1.92,4.0,48.42,0.12,0.12,9.43
"2015-01-19","J",748.47,0.44,0.6,74.09,9.48,0.05,8.40
"2015-01-19","T",742.14,19.58,23.0,85.20,9.47,0.10,-1
"2015-01-20","PN",753.84,27.19,8.3,329.37,5.33,9.15,-1
"2015-01-20","P",761.48,9.55,26.0,36.73,0.18,1.05,8.68
"2015-01-20","B",749.61,1.88,3.9,48.42,0.09,0.12,9.03
"2015-01-20","J",748.48,0.53,0.7,74.09,9.08,0.05,8.00
"2015-01-20","T",742.11,19.30,22.6,85.20,8.34,0.10,-1
"2015-01-21","PN",753.78,26.60,8.1,329.37,6.53,9.15,-1
"2015-01-21","P",761.46,9.50,25.9,36.73,0.47,1.05,8.80
"2015-01-21","B",749.59,1.82,3.8,48.42,0.09,0.12,9.52
"2015-01-21","J",748.48,0.53,0.7,74.09,9.65,0.05,9.60
"2015-01-21","T",742.10,19.20,22.5,85.20,10.12,0.10,-1
"2015-01-22","PN",753.85,27.28,8.3,329.37,21.27,9.15,-1
"2015-01-22","P",761.43,9.43,25.7,36.73,0.19,1.05,8.00
"2015-01-22","B",749.56,1.72,3.6,48.42,0.10,0.12,9.10
"2015-01-22","J",748.49,0.62,0.8,74.09,9.28,0.05,8.20
"2015-01-22","T",742.08,19.02,22.3,85.20,8.57,0.10,-1
"2015-01-23","PN",753.98,28.58,8.7,329.37,28.28,9.15,-1
"2015-01-23","P",761.41,9.38,25.5,36.73,0.48,1.05,8.65
"2015-01-23","B",749.53,1.63,3.4,48.42,0.11,0.12,9.75
"2015-01-23","J",748.51,0.80,1.1,74.09,10.12,0.05,8.00
"2015-01-23","T",742.07,18.93,22.2,85.20,9.00,0.10,-1
"2015-01-24","PN",754.01,28.88,8.8,329.37,15.75,8.08,-1
"2015-01-24","P",761.41,9.38,25.5,36.73,1.05,1.05,9.00
"2015-01-24","B",749.52,1.59,3.3,48.42,0.50,0.12,9.75
"2015-01-24","J",748.53,0.98,1.3,74.09,10.41,0.05,8.29
"2015-01-24","T",742.06,18.84,22.1,85.20,9.00,0.10,-1
"2015-01-25","PN",753.99,28.68,8.7,329.37,9.94,8.08,-1
"2015-01-25","P",761.39,9.33,25.4,36.73,0.48,1.05,8.90
"2015-01-25","B",749.52,1.59,3.3,48.42,0.92,0.12,9.70
"2015-01-25","J",748.54,1.07,1.4,74.09,9.98,0.05,8.89
"2015-01-25","T",742.05,18.74,22.0,85.20,9.00,0.10,-1
"2015-01-26","PN",753.95,28.28,8.6,329.37,7.64,8.08,-1
"2015-01-26","P",761.37,9.28,25.3,36.73,0.48,1.05,8.80
"2015-01-26","B",749.52,1.59,3.3,48.42,1.04,0.12,9.72
"2015-01-26","J",748.55,1.16,1.6,74.09,9.83,0.50,8.29
"2015-01-26","T",742.04,18.65,21.9,85.20,9.43,0.10,-1
"2015-01-27","PN",753.92,27.98,8.5,329.37,8.81,8.08,-1
"2015-01-27","P",761.36,9.25,25.2,36.73,0.77,1.05,8.91
"2015-01-27","B",749.55,1.69,3.5,48.42,2.13,0.12,9.81
"2015-01-27","J",748.61,1.70,2.3,74.09,15.03,0.05,8.71
"2015-01-27","T",742.06,18.84,22.1,85.20,12.07,0.10,-1
"2015-01-28","PN",753.90,27.78,8.4,329.37,6.91,5.02,-1
"2015-01-28","P",761.34,9.20,25.1,36.73,0.48,1.05,9.61
"2015-01-28","B",749.57,1.75,3.6,48.42,1.81,0.12,10.56
"2015-01-28","J",748.71,2.61,3.5,74.09,19.76,0.50,8.71
"2015-01-28","T",742.13,19.48,22.9,85.20,17.51,0.10,-1
"2015-01-29","PN",753.88,27.58,8.4,329.37,6.91,5.02,-1
"2015-01-29","P",761.35,9.23,25.1,36.73,1.33,1.05,8.80
"2015-01-29","B",749.56,1.72,3.6,48.42,0.69,0.12,9.74
"2015-01-29","J",748.74,2.89,3.9,74.09,11.24,0.05,8.00
"2015-01-29","T",742.16,19.76,23.2,85.20,14.53,0.10,-1
"2015-01-30","PN",753.85,27.28,8.3,329.37,5.78,5.02,-1
"2015-01-30","P",761.33,9.18,25.0,36.73,0.48,1.05,8.68
"2015-01-30","B",749.55,1.69,3.5,48.42,0.65,0.12,9.58
"2015-01-30","J",748.76,3.07,4.1,74.09,10.18,0.05,8.00
"2015-01-30","T",742.17,19.86,23.3,85.20,11.80,0.10,-1
"2015-01-31","PN",753.90,27.78,8.4,329.37,14.92,5.02,-1
"2015-01-31","P",761.32,9.16,24.9,36.73,0.77,1.05,8.70
"2015-01-31","B",749.55,1.69,3.5,48.42,1.05,0.12,9.63
"2015-01-31","J",748.78,3.26,4.4,74.09,10.75,0.05,8.56
"2015-01-31","T",742.17,19.86,23.3,85.20,10.72,0.10,-1
"2015-02-01","PN",754.04,29.18,8.9,329.37,28.47,8.16,-1
"2015-02-01","P",761.31,9.13,24.9,36.73,0.77,1.05,8.00
"2015-02-01","B",749.53,1.63,3.4,48.42,0.28,0.12,8.90
"2015-02-01","J",748.79,3.35,4.5,74.09,9.12,0.05,8.00
"2015-02-01","T",742.17,19.86,23.3,85.20,10.72,0.10,-1
"2015-02-02","PN",754.04,29.18,8.9,329.37,12.18,8.08,-1
"2015-02-02","P",761.31,9.13,24.9,36.73,1.05,1.05,7.99
"2015-02-02","B",749.53,1.63,3.4,48.42,0.92,0.12,8.90
"2015-02-02","J",748.80,3.44,4.6,74.09,9.12,0.05,8.00
"2015-02-02","T",742.17,19.86,23.3,85.20,9.51,0.10,-1
"2015-02-03","PN",754.05,29.28,8.9,329.37,13.35,8.08,-1
"2015-02-03","P",761.33,9.18,25.0,36.73,1.62,1.05,8.10
"2015-02-03","B",749.57,1.75,3.6,48.42,2.51,0.12,9.00
